,comment,sentiment_scores
77,every single casting choice was on the fucking point,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
78, arguably one of nolans tightest scripts it felt concise for what it was trying to do and has hardly any filler scenes  rdj was incredible i liked how he was kind of tony starkish at first and then he becomes more and more unlikable as it goes on hes the front runner for supporting actor this year for sure  matt damon was an unsung highlight he was hilarious and always gave great line deliveries  gary oldman as truman was a great cameo he was such a prick in only  minutes of screen time  the trinity test scene was absolutely breathtaking the tension followed by the silence followed by the sound was thrilling to experience  holy shit that scene with oppenheimer giving the speech in the gym and he hallucinates the bomb going off on the crowd genuinely one of the most haunting scenes ive ever seen  the score was fantastic ludwig deserves a ton of credit for building up the intensity with his score,"{'neg': 0.065, 'neu': 0.732, 'pos': 0.203, 'compound': 0.9811}"
79,im glad nolan restrained himself from showing hiroshima instead he showed murphys face who is emoting all the dread and remorse pretty well the post hiroshima speech is an alltimer scene,"{'neg': 0.129, 'neu': 0.66, 'pos': 0.211, 'compound': 0.4939}"
80, hours of people just talking and i could have watched another  hours what an incredible movie,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
81,i havent seen many comments on the score ludwig göransson absolutely killed it love the string motif,"{'neg': 0.198, 'neu': 0.618, 'pos': 0.184, 'compound': -0.0847}"
82,during the scene with the bomb i couldnt help but think how funny it would be if something went wrong and josh peck was forced to push the red button look up with a thousand yard stare and say megan,"{'neg': 0.191, 'neu': 0.685, 'pos': 0.124, 'compound': -0.5313}"
83,i watched the movie i felt like this is the best christopher nolan movies in years it felt massive with so many actors in here and yet felt intimate because this movie peeled the layer of oppenheimer that weve never seen before on big screen cillian murphy stepped in to a lead role and he executed that so precisely rdj also gave memorable performance as strauss the antagonist for oppenheimer i also felt like nolan is firing on all cylinders in here camera works sound designs score script were all top notch,"{'neg': 0.052, 'neu': 0.841, 'pos': 0.108, 'compound': 0.6908}"
84,if im a hollywood male actor under the age of  and i wasnt in this movie im calling my agent first thing tomorrow,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
85,for i have become josh peck the destroyer of worlds,"{'neg': 0.25, 'neu': 0.75, 'pos': 0.0, 'compound': -0.4588}"
86,i just want to say as a physicist i enjoyed the first half hourish of the movie immensely the jokes about mathematics experimental vs theoretical and oppenheimer staring at a board saying yep that proves it really tickled my fancy,"{'neg': 0.0, 'neu': 0.804, 'pos': 0.196, 'compound': 0.7783}"
87,deleted,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
88,my favourite part was when einstein showed up from behind a car like master oogway,"{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.3612}"
89,that truman scene was harrowing also casey affleck was scary as fuck,"{'neg': 0.401, 'neu': 0.599, 'pos': 0.0, 'compound': -0.7717}"
90,im sorry but the first sex scene where the line is read aloud was absolutely ridiculous the rest of the movie  edit talk dirty to me opie i have become death the destroyer of worlds,"{'neg': 0.376, 'neu': 0.624, 'pos': 0.0, 'compound': -0.9586}"
91,very excited to watch nolan finally take home all the oscars,"{'neg': 0.0, 'neu': 0.788, 'pos': 0.212, 'compound': 0.4005}"
92,when they were counting down to the explosion some dumbass shouted allahu akbar when i guess he assumed there would be a loud explosion this was at the imax showing at the sf metreon,"{'neg': 0.098, 'neu': 0.902, 'pos': 0.0, 'compound': -0.5574}"
93,the trinity test is the biggest reverse card nolan played on the audience ever everybody was excited for the sound of the explosion and it turns out the waiting in anxiety for  seconds for the sound to hit was the heaviest experience i ever had in a theatre  people dead quiet you see the explosion you stop breathing sweating  seconds feel like  minutes i had a mini panic attack waiting for the explosion sound and at that point we did not care if the exposion was loud enough we only cared for those  seconds of total silence sweat and anxiety in hearing the detonation,"{'neg': 0.155, 'neu': 0.762, 'pos': 0.083, 'compound': -0.8329}"
94,my screening is about to start and apparently lots of parents didnt get the memo its an r rated movie and brought their kids i had florence pughs titties being shown spoiled for me so this should be interesting will update update surprisingly not too big a deal tamer than i thought it would be maybe some covered eyes from the parents but not  sure since the theater was dark,"{'neg': 0.034, 'neu': 0.919, 'pos': 0.047, 'compound': 0.0018}"
95,one of the best parts thats not directly movie related was the exact start time and no movie previews at least for the imax mm shows this should be standard if you watch any plf imax dolby cinema etc as for the movie definitely the front runner for best picture and acting nods for cillian murphy and rdj hope this leads to more lead roles for murphy,"{'neg': 0.028, 'neu': 0.793, 'pos': 0.179, 'compound': 0.9153}"
96,the thing that stands out to me the most is how well the film portrays oppenheimer as a truly complex character that remains sympathetic throughout a really great performance from cillian murphy and an excellent narrative i also loved the string theory visuals they felt very real in a way thats hard to describe even though its probably not scientifically accurateknown,"{'neg': 0.018, 'neu': 0.711, 'pos': 0.271, 'compound': 0.9646}"
